modelo,estrategia,seed,fold,MAE,RMSE,MAPE,R2,R2_log,smearing_factor
HGB,SpatialBlock,888,2,98.4956,147.8794,46.8686,0.7342,0.6667,1.004734
HGB,SpatialBlock,888,3,68.5224,122.8541,30.6115,0.6426,0.5484,1.003438
HGB,SpatialBlock,888,4,33.3972,47.8734,26.9262,0.3482,0.4627,1.005136
HGB,SpatialBlock_buf,888,0,40.5055,53.1529,37.7423,0.1737,0.1331,1.003474
HGB,SpatialBlock_buf,888,1,134.2946,252.985,39.8147,0.2812,0.6385,1.003397
HGB,SpatialBlock_buf,888,2,147.8847,290.6792,50.364,-0.0269,0.3212,1.002322
HGB,SpatialBlock_buf,888,3,90.9407,182.6842,36.9946,0.2097,0.3765,1.000966
HGB,SpatialBlock_buf,888,4,37.359,54.5947,27.0287,0.1524,0.1507,1.002048
HGB,RandomKFold,314,0,41.719,76.1893,21.9577,0.8755,0.8493,1.004708
HGB,RandomKFold,314,1,40.3333,77.1301,20.1611,0.8782,0.8675,1.004964
HGB,RandomKFold,314,2,39.1827,84.5273,20.0721,0.8508,0.865,1.00512
HGB,RandomKFold,314,3,40.8454,85.3858,20.3704,0.8599,0.8633,1.00504
HGB,RandomKFold,314,4,40.1576,81.7096,18.2848,0.8808,0.888,1.005232
HGB,SpatialBlock,314,0,31.117,43.7458,26.871,0.4403,0.4498,1.005069
HGB,SpatialBlock,314,1,90.2569,166.649,29.3512,0.6881,0.8153,1.004844
HGB,SpatialBlock,314,2,98.4956,147.8794,46.8686,0.7342,0.6667,1.004734
HGB,SpatialBlock,314,3,68.5224,122.8541,30.6115,0.6426,0.5484,1.003438
HGB,SpatialBlock,314,4,33.3972,47.8734,26.9262,0.3482,0.4627,1.005136
HGB,SpatialBlock_buf,314,0,40.5055,53.1529,37.7423,0.1737,0.1331,1.003474
HGB,SpatialBlock_buf,314,1,134.2946,252.985,39.8147,0.2812,0.6385,1.003397
HGB,SpatialBlock_buf,314,2,147.8847,290.6792,50.364,-0.0269,0.3212,1.002322
HGB,SpatialBlock_buf,314,3,90.9407,182.6842,36.9946,0.2097,0.3765,1.000966
HGB,SpatialBlock_buf,314,4,37.359,54.5947,27.0287,0.1524,0.1507,1.002048
HGB,RandomKFold,7,0,41.719,76.1893,21.9577,0.8755,0.8493,1.004708
HGB,RandomKFold,7,1,40.3333,77.1301,20.1611,0.8782,0.8675,1.004964
HGB,RandomKFold,7,2,39.1827,84.5273,20.0721,0.8508,0.865,1.00512
HGB,RandomKFold,7,3,40.8454,85.3858,20.3704,0.8599,0.8633,1.00504
HGB,RandomKFold,7,4,40.1576,81.7096,18.2848,0.8808,0.888,1.005232
HGB,SpatialBlock,7,0,31.117,43.7458,26.871,0.4403,0.4498,1.005069
HGB,SpatialBlock,7,1,90.2569,166.649,29.3512,0.6881,0.8153,1.004844
HGB,SpatialBlock,7,2,98.4956,147.8794,46.8686,0.7342,0.6667,1.004734
HGB,SpatialBlock,7,3,68.5224,122.8541,30.6115,0.6426,0.5484,1.003438
HGB,SpatialBlock,7,4,33.3972,47.8734,26.9262,0.3482,0.4627,1.005136
HGB,SpatialBlock_buf,7,0,40.5055,53.1529,37.7423,0.1737,0.1331,1.003474
HGB,SpatialBlock_buf,7,1,134.2946,252.985,39.8147,0.2812,0.6385,1.003397
